lad11cd,lad_name,all,bicycle,foot,car,other,govtarget_slc,govtarget_sic,govtarget_slw,govtarget_siw,govtarget_sld,govtarget_sid,cambridge_slc,cambridge_sic,cambridge_slw,cambridge_siw,cambridge_sld,cambridge_sid,dutch_slc,dutch_sic,dutch_slw,dutch_siw,dutch_sld,dutch_sid,govtarget_slmmet,govtarget_simmet,cambridge_slmmet,cambridge_simmet,dutch_slmmet,dutch_simmet,govtarget_slco2,govtarget_sico2,cambridge_slco2,cambridge_sico2,dutch_slco2,dutch_sico2,perc_rf_dist_u5km,avslope_perc_u5km
E06000001,Hartlepool, 14997,100, 8593, 3366, 2938,494.87,394.87,8391.37,-201.63,3293.4,-72.6,4355.25,4255.25,6405.4,-2187.6,2534.96,-831.04,7585.69,7485.69,4692.32,-3900.68,1926.34,-1439.66,0.0947,0.0767,0.841,0.823,1.55,1.53,-10.61,-7.56,-89028,-85984,-152.7,-149.66,94.38,1.12
E06000002,Middlesbrough, 23311,303,13915, 5350, 3743,931.2,628.2,13582.94,-332.06,5209.16,-140.84,6634.98,6331.98,10568.66,-3346.34,3902.47,-1447.53,11696.17,11393.17,7771.97,-6143.03,2828.1,-2521.9,0.0928,0.0728,0.763,0.743,1.46,1.44,-23.96,-16.37,-173157,-165567,-294.26,-286.67,94.74,1.04
E06000003,Redcar and Cleveland, 20610,498,13332, 3638, 3142,936.29,438.29,13013.23,-318.77,3576.16,-61.84,4787.44,4289.44,10293.91,-3038.09,3004.62,-633.38,8684.12,8186.12,7835.65,-5496.35,2380.59,-1257.41,0.0254,0.0186,0.244,0.238,0.8,0.79,-11.29,-5.45,-66116,-60268,-144.63,-138.78,90.62,1.57
E06000004,Stockton-on-Tees, 29449,480,17411, 6239, 5319,1224.95,744.95,16931.18,-479.82,6109.3,-129.7,8151.18,7671.18,12663.5,-4747.5,4807.53,-1431.47,14580.17,14100.17,9107.94,-8303.06,3588.44,-2650.56,0.0622,0.0404,0.512,0.49,1.35,1.33,-22.93,-13.03,-156885,-146981,-319.5,-309.6,89.55,1
E06000005,Darlington, 14684,383, 8683, 2975, 2643,673.91,290.91,8508.86,-174.14,2924.62,-50.38,3454.91,3071.91,6908.57,-1774.43,2420.64,-554.36,6449.62,6066.62,5265.22,-3417.78,1917.53,-1057.47,0.0774,0.045,0.571,0.539,1.39,1.36,-12.49,-4.93,-65763,-58203,-127.24,-119.68,89.28,1.3
E06000006,Halton, 19316,140, 9478, 6584, 3114,545.15,405.15,9273.54,-204.46,6459.87,-124.13,4767.96,4627.96,7194.75,-2283.25,5117.15,-1466.85,8508.77,8368.77,5438.16,-4039.84,3950.81,-2633.19,0.0597,0.0482,0.585,0.573,1.27,1.26,-17.57,-13.09,-162510,-158030,-315.7,-311.22,91.35,1.77
E06000007,Warrington, 30500,761,14279, 9941, 5519,1603.59,842.59,13894.77,-384.23,9697.4,-243.6,9009.26,8248.26,10534.09,-3744.91,7427.54,-2513.46,15594.35,14833.35,7641.4,-6637.6,5561.39,-4379.61,0.145,0.0846,0.901,0.841,1.86,1.8,-49.09,-25.42,-280552,-256877,-487.74,-464.07,90.91,0.91
E06000008,Blackburn with Darwen, 24698,51,10750, 8687, 5210,272.42,221.42,10665.06,-84.95,8605.53,-81.47,3210.43,3159.43,9618.66,-1131.34,7491.99,-1195.01,7373.31,7322.31,8198.18,-2551.82,6089.4,-2597.6,0.0363,0.032,0.493,0.488,1.37,1.37,-10.31,-8.68,-140847,-139208,-331.14,-329.5,91.35,3.35
E06000009,Blackpool, 19651,299,10325, 5570, 3457,871.56,572.56,10028.71,-296.29,5422.46,-147.54,6146.62,5847.62,7356.4,-2968.6,4005.73,-1564.27,10248.61,9949.61,5295.22,-5029.78,2929.89,-2640.11,0.0964,0.0677,0.752,0.723,1.43,1.4,-23.37,-14.6,-165657,-156888,-287.85,-279.08,93.52,0.84
E06000010,"Kingston upon Hull, City of", 36746,854,24618, 4992, 6282,2116.62,1262.62,23806.15,-811.85,4835.35,-156.65,12243.78,11389.78,17329.89,-7288.11,3491.47,-1500.53,20310.85,19456.85,12202.99,-12415.01,2470.28,-2521.72,0.117,0.0704,0.72,0.673,1.41,1.37,-37.46,-17.96,-189278,-169778,-319.26,-299.76,92.61,0.35
